vtkCompositeIndexArray,vtkOriginalIndices,x,y,z,u1,u2,u3,__vtkIsSelected__,p
2,0,0,0,0,0,0,0,0,3.75947E-06
2,1,0.005,0,0,0,0,0,0,-0.00290938
2,2,0.01,0,0,0,0,0,0,-0.0093908
2,3,0.015,0,0,0,0,0,0,-0.0156847
2,4,0.02,0,0,0,0,0,0,-0.0194187
2,5,0.025,0,0,0,0,0,0,-0.0193301
2,6,0.03,0,0,0,0,0,0,-0.015001
2,7,0.035,0,0,0,0,0,0,-0.00662416
2,8,0.04,0,0,0,0,0,0,0.00518053
2,9,0.045,0,0,0,0,0,0,0.0194957
2,10,0.05,0,0,0,0,0,0,0.0351979
2,11,0.055,0,0,0,0,0,0,0.0510334
2,12,0.06,0,0,0,0,0,0,0.0656994
2,13,0.065,0,0,0,0,0,0,0.0779412
2,14,0.07,0,0,0,0,0,0,0.0866779
2,15,0.075,0,0,0,0,0,0,0.0911573
2,16,0.08,0,0,0,0,0,0,0.0911444
2,17,0.085,0,0,0,0,0,0,0.087134
2,18,0.09,0,0,0,0,0,0,0.0805627
2,19,0.095,0,0,0,0,0,0,0.0739753
2,20,0.1,0,0,0,0,0,0,0.071069
2,21,0,0.005,0,0,0,0,0,0.00289258
2,22,0.005,0.005,0,-0.000323577,0.000334115,0,0,-6.35124E-05
2,23,0.01,0.005,0,-0.00208489,0.00148443,0,0,-0.00619998
2,24,0.015,0.005,0,-0.00551702,0.00252522,0,0,-0.0116776
2,25,0.02,0.005,0,-0.0101166,0.00317692,0,0,-0.0147431
2,26,0.025,0.005,0,-0.0152838,0.00340244,0,0,-0.0144212
2,27,0.03,0.005,0,-0.020434,0.0032376,0,0,-0.0103493
2,28,0.035,0.005,0,-0.0250441,0.00274539,0,0,-0.00268436
2,29,0.04,0.005,0,-0.0286841,0.00199865,0,0,0.00803591
2,30,0.045,0.005,0,-0.0310324,0.00107336,0,0,0.0210025
2,31,0.05,0.005,0,-0.0318819,4.82577E-05,0,0,0.0352149
2,32,0.055,0.005,0,-0.0311472,-0.000993389,0,0,0.0495508
2,33,0.06,0.005,0,-0.0288724,-0.00196221,0,0,0.0628426
2,34,0.065,0.005,0,-0.025238,-0.00276314,0,0,0.0739693
2,35,0.07,0.005,0,-0.0205655,-0.00329903,0,0,0.081971
2,36,0.075,0.005,0,-0.0153113,-0.0034789,0,0,0.0861872
2,37,0.08,0.005,0,-0.0100436,-0.00323271,0,0,0.0864203
2,38,0.085,0.005,0,-0.00539145,-0.00253451,0,0,0.0831002
2,39,0.09,0.005,0,-0.001974,-0.00144875,0,0,0.0773643
2,40,0.095,0.005,0,-0.000267843,-0.000289915,0,0,0.0711368
2,41,0.1,0.005,0,0,0,0,0,0.0681947
2,42,0,0.01,0,0,0,0,0,0.00955786
2,43,0.005,0.01,0,-0.00148215,0.00207571,0,0,0.00598327
2,44,0.01,0.01,0,-0.0054008,0.00530533,0,0,-0.00049457
2,45,0.015,0.01,0,-0.0119972,0.00807046,0,0,-0.00518909
2,46,0.02,0.01,0,-0.0203405,0.00978224,0,0,-0.0074567
2,47,0.025,0.01,0,-0.029468,0.0103213,0,0,-0.00688912
2,48,0.03,0.01,0,-0.0384503,0.00975585,0,0,-0.00326295
2,49,0.035,0.01,0,-0.0464368,0.00824339,0,0,0.00328646
2,50,0.04,0.01,0,-0.0527176,0.00598414,0,0,0.0123292
2,51,0.045,0.01,0,-0.056757,0.00319864,0,0,0.0232184
2,52,0.05,0.01,0,-0.0582112,0.000121536,0,0,0.0351452
2,53,0.055,0.01,0,-0.0569403,-0.00299781,0,0,0.0471932
2,54,0.06,0.01,0,-0.0530214,-0.00589462,0,0,0.0584026
2,55,0.065,0.01,0,-0.0467583,-0.00829288,0,0,0.0678499
2,56,0.07,0.01,0,-0.038683,-0.00991834,0,0,0.0747429
2,57,0.075,0.01,0,-0.029543,-0.0105244,0,0,0.07853
2,58,0.08,0.01,0,-0.0202549,-0.00993464,0,0,0.0790284
2,59,0.085,0.01,0,-0.0118175,-0.00810426,0,0,0.0765158
2,60,0.09,0.01,0,-0.00522933,-0.00521933,0,0,0.0715569
2,61,0.095,0.01,0,-0.00139019,-0.0019578,0,0,0.0649861
2,62,0.1,0.01,0,0,0,0,0,0.06143
2,63,0,0.015,0,0,0,0,0,0.0167358
2,64,0.005,0.015,0,-0.00271475,0.00563171,0,0,0.0118003
2,65,0.01,0.015,0,-0.00882284,0.0120249,0,0,0.00349048
2,66,0.015,0.015,0,-0.0184487,0.0171867,0,0,-0.00171402
2,67,0.02,0.015,0,-0.0301628,0.0202857,0,0,-0.00401988
2,68,0.025,0.015,0,-0.0426853,0.0211283,0,0,-0.00353394
2,69,0.03,0.015,0,-0.05484,0.0198338,0,0,-0.000201613
2,70,0.035,0.015,0,-0.0655565,0.0166925,0,0,0.00578872
2,71,0.04,0.015,0,-0.0739425,0.012086,0,0,0.0140257
2,72,0.045,0.015,0,-0.0793251,0.00644495,0,0,0.0239334
