vtkCompositeIndexArray,vtkOriginalIndices,x,y,z,u1,u2,u3,__vtkIsSelected__,p
2,0,0,0,0,0,0,0,0,3.53319E-07
2,1,0.005,0,0,0,0,0,0,-0.00291297
2,2,0.01,0,0,0,0,0,0,-0.00939339
2,3,0.015,0,0,0,0,0,0,-0.0156847
2,4,0.02,0,0,0,0,0,0,-0.0194164
2,5,0.025,0,0,0,0,0,0,-0.0193263
2,6,0.03,0,0,0,0,0,0,-0.0149967
2,7,0.035,0,0,0,0,0,0,-0.00662018
2,8,0.04,0,0,0,0,0,0,0.00518327
2,9,0.045,0,0,0,0,0,0,0.0194966
2,10,0.05,0,0,0,0,0,0,0.0351968
2,11,0.055,0,0,0,0,0,0,0.0510302
2,12,0.06,0,0,0,0,0,0,0.0656941
2,13,0.065,0,0,0,0,0,0,0.0779345
2,14,0.07,0,0,0,0,0,0,0.0866707
2,15,0.075,0,0,0,0,0,0,0.0911505
2,16,0.08,0,0,0,0,0,0,0.0911391
2,17,0.085,0,0,0,0,0,0,0.0871308
2,18,0.09,0,0,0,0,0,0,0.080562
2,19,0.095,0,0,0,0,0,0,0.0739769
2,20,0.1,0,0,0,0,0,0,0.0710714
2,21,0,0.005,0,0,0,0,0,0.00288713
2,22,0.005,0.005,0,-0.000323369,0.000334274,0,0,-6.86177E-05
2,23,0.01,0.005,0,-0.00208419,0.00148418,0,0,-0.00620355
2,24,0.015,0.005,0,-0.00551536,0.00252458,0,0,-0.0116788
2,25,0.02,0.005,0,-0.0101136,0.00317605,0,0,-0.0147421
2,26,0.025,0.005,0,-0.0152792,0.00340148,0,0,-0.0144188
2,27,0.03,0.005,0,-0.0204278,0.00323668,0,0,-0.0103464
2,28,0.035,0.005,0,-0.0250365,0.00274462,0,0,-0.00268154
2,29,0.04,0.005,0,-0.0286755,0.00199809,0,0,0.00803784
2,30,0.045,0.005,0,-0.031023,0.00107308,0,0,0.0210031
2,31,0.05,0.005,0,-0.0318724,4.82705E-05,0,0,0.0352138
2,32,0.055,0.005,0,-0.031138,-0.000993077,0,0,0.049548
2,33,0.06,0.005,0,-0.0288638,-0.00196162,0,0,0.0628382
2,34,0.065,0.005,0,-0.0252306,-0.00276233,0,0,0.0739639
2,35,0.07,0.005,0,-0.0205596,-0.00329809,0,0,0.0819652
2,36,0.075,0.005,0,-0.015307,-0.00347793,0,0,0.0861819
2,37,0.08,0.005,0,-0.0100408,-0.00323183,0,0,0.0864163
2,38,0.085,0.005,0,-0.00539,-0.00253385,0,0,0.0830982
2,39,0.09,0.005,0,-0.00197353,-0.00144842,0,0,0.0773646
2,40,0.095,0.005,0,-0.000267824,-0.000289924,0,0,0.0711393
2,41,0.1,0.005,0,0,0,0,0,0.0681982
2,42,0,0.01,0,0,0,0,0,0.0095487
2,43,0.005,0.01,0,-0.00148153,0.00207533,0,0,0.00597531
2,44,0.01,0.01,0,-0.00539884,0.00530388,0,0,-0.000500085
