vtkCompositeIndexArray,vtkOriginalIndices,x,y,z,u1,u2,u3,__vtkIsSelected__,p
2,0,0,0,0,0,0,0,0,-2.23126E-08
2,1,0.005,0,0,0,0,0,0,-0.0028662
2,2,0.01,0,0,0,0,0,0,-0.00923424
2,3,0.015,0,0,0,0,0,0,-0.0153971
2,4,0.02,0,0,0,0,0,0,-0.0190194
2,5,0.025,0,0,0,0,0,0,-0.0188625
2,6,0.03,0,0,0,0,0,0,-0.0145179
2,7,0.035,0,0,0,0,0,0,-0.0061781
2,8,0.04,0,0,0,0,0,0,0.00554405
2,9,0.045,0,0,0,0,0,0,0.0197428
2,10,0.05,0,0,0,0,0,0,0.0353095
2,11,0.055,0,0,0,0,0,0,0.051008
2,12,0.06,0,0,0,0,0,0,0.0655534
2,13,0.065,0,0,0,0,0,0,0.0777081
2,14,0.07,0,0,0,0,0,0,0.0864052
2,15,0.075,0,0,0,0,0,0,0.0909004
2,16,0.08,0,0,0,0,0,0,0.0909576
2,17,0.085,0,0,0,0,0,0,0.0870586
2,18,0.09,0,0,0,0,0,0,0.0806146
2,19,0.095,0,0,0,0,0,0,0.0741337
2,20,0.1,0,0,0,0,0,0,0.0712702
2,21,0,0.005,0,0,0,0,0,0.0028411
2,22,0.005,0.005,0,-0.00031883,0.00033061,0,0,-6.59866E-05
2,23,0.01,0.005,0,-0.00205318,0.00146354,0,0,-0.00609324
2,24,0.015,0.005,0,-0.0054315,0.00248725,0,0,-0.011454
2,25,0.02,0.005,0,-0.00995712,0.00312695,0,0,-0.0144211
2,26,0.025,0.005,0,-0.0150392,0.00334727,0,0,-0.0140368
2,27,0.03,0.005,0,-0.020103,0.00318408,0,0,-0.0099464
2,28,0.035,0.005,0,-0.0246349,0.00269959,0,0,-0.0023065
2,29,0.04,0.005,0,-0.0282135,0.00196546,0,0,0.00835066
2,30,0.045,0.005,0,-0.030523,0.00105626,0,0,0.0212255
2,31,0.05,0.005,0,-0.0313607,4.90958E-05,0,0,0.0353297
2,32,0.055,0.005,0,-0.0306423,-0.000974547,0,0,0.0495554
