vtkCompositeIndexArray,vtkOriginalIndices,x,y,z,u1,u2,u3,__vtkIsSelected__,p
2,0,0,0,0,0,0,0,0,4.29931E-06
2,1,0.005,0,0,0,0,0,0,-0.00290914
2,2,0.01,0,0,0,0,0,0,-0.00939144
2,3,0.015,0,0,0,0,0,0,-0.0156865
2,4,0.02,0,0,0,0,0,0,-0.0194214
2,5,0.025,0,0,0,0,0,0,-0.0193333
2,6,0.03,0,0,0,0,0,0,-0.0150043
2,7,0.035,0,0,0,0,0,0,-0.00662694
2,8,0.04,0,0,0,0,0,0,0.00517861
2,9,0.045,0,0,0,0,0,0,0.019495
2,10,0.05,0,0,0,0,0,0,0.0351984
2,11,0.055,0,0,0,0,0,0,0.0510353
2,12,0.06,0,0,0,0,0,0,0.0657024
2,13,0.065,0,0,0,0,0,0,0.0779452
2,14,0.07,0,0,0,0,0,0,0.0866823
2,15,0.075,0,0,0,0,0,0,0.0911615
2,16,0.08,0,0,0,0,0,0,0.091148
2,17,0.085,0,0,0,0,0,0,0.0871366
2,18,0.09,0,0,0,0,0,0,0.0805641
2,19,0.095,0,0,0,0,0,0,0.0739757
2,20,0.1,0,0,0,0,0,0,0.071069
2,21,0,0.005,0,0,0,0,0,0.00289378
2,22,0.005,0.005,0,-0.000323631,0.000334118,0,0,-6.26969E-05
2,23,0.01,0.005,0,-0.00208519,0.00148461,0,0,-0.00620008
2,24,0.015,0.005,0,-0.00551779,0.00252557,0,0,-0.0116787
2,25,0.02,0.005,0,-0.010118,0.00317737,0,0,-0.014745
2,26,0.025,0.005,0,-0.0152859,0.00340292,0,0,-0.0144236
2,27,0.03,0.005,0,-0.0204369,0.00323806,0,0,-0.0103518
2,28,0.035,0.005,0,-0.0250475,0.00274578,0,0,-0.0026865
2,29,0.04,0.005,0,-0.0286881,0.00199893,0,0,0.00803444
2,30,0.045,0.005,0,-0.0310367,0.0010735,0,0,0.021002
2,31,0.05,0.005,0,-0.0318863,4.82403E-05,0,0,0.0352154
2,32,0.055,0.005,0,-0.0311515,-0.000993558,0,0,0.0495524
2,33,0.06,0.005,0,-0.0288763,-0.00196251,0,0,0.0628451
2,34,0.065,0.005,0,-0.0252414,-0.00276354,0,0,0.0739725
2,35,0.07,0.005,0,-0.0205682,-0.00329949,0,0,0.0819745
2,36,0.075,0.005,0,-0.0153133,-0.00347937,0,0,0.0861906
2,37,0.08,0.005,0,-0.0100448,-0.00323313,0,0,0.0864232
2,38,0.085,0.005,0,-0.00539207,-0.00253482,0,0,0.0831022
2,39,0.09,0.005,0,-0.0019742,-0.00144891,0,0,0.0773652
2,40,0.095,0.005,0,-0.000267854,-0.000289924,0,0,0.0711368
2,41,0.1,0.005,0,0,0,0,0,0.0681944
2,42,0,0.01,0,0,0,0,0,0.00956038
2,43,0.005,0.01,0,-0.00148236,0.00207596,0,0,0.00598523
2,44,0.01,0.01,0,-0.00540157,0.00530604,0,0,-0.000493656
2,45,0.015,0.01,0,-0.0119989,0.00807155,0,0,-0.00518905
2,46,0.02,0.01,0,-0.0203433,0.00978362,0,0,-0.00745732
2,47,0.025,0.01,0,-0.0294721,0.0103228,0,0,-0.00689018
2,48,0.03,0.01,0,-0.0384557,0.00975724,0,0,-0.00326421
2,49,0.035,0.01,0,-0.0464433,0.00824457,0,0,0.00328531
2,50,0.04,0.01,0,-0.0527249,0.00598497,0,0,0.0123284
2,51,0.045,0.01,0,-0.0567649,0.00319904,0,0,0.0232181
2,52,0.05,0.01,0,-0.0582191,0.000121476,0,0,0.0351457
2,53,0.055,0.01,0,-0.056948,-0.00299832,0,0,0.0471944
2,54,0.06,0.01,0,-0.0530285,-0.00589554,0,0,0.0584043
2,55,0.065,0.01,0,-0.0467644,-0.0082941,0,0,0.067852
2,56,0.07,0.01,0,-0.038688,-0.00991973,0,0,0.0747451
2,57,0.075,0.01,0,-0.0295467,-0.0105258,0,0,0.0785321
2,58,0.08,0.01,0,-0.0202574,-0.00993595,0,0,0.07903
2,59,0.085,0.01,0,-0.0118189,-0.00810528,0,0,0.0765168
2,60,0.09,0.01,0,-0.00522992,-0.00521993,0,0,0.071557
2,61,0.095,0.01,0,-0.00139033,-0.001958,0,0,0.0649851
2,62,0.1,0.01,0,0,0,0,0,0.0614286
2,63,0,0.015,0,0,0,0,0,0.0167395
2,64,0.005,0.015,0,-0.00271512,0.00563248,0,0,0.0118033
2,65,0.01,0.015,0,-0.00882404,0.0120266,0,0,0.00349223
2,66,0.015,0.015,0,-0.0184511,0.017189,0,0,-0.00171317
2,67,0.02,0.015,0,-0.0301668,0.0202885,0,0,-0.00401967
2,68,0.025,0.015,0,-0.042691,0.0211313,0,0,-0.00353419
2,69,0.03,0.015,0,-0.0548473,0.0198366,0,0,-0.000202125
2,70,0.035,0.015,0,-0.0655653,0.0166948,0,0,0.00578814
2,71,0.04,0.015,0,-0.0739523,0.0120877,0,0,0.0140253
2,72,0.045,0.015,0,-0.0793356,0.00644574,0,0,0.0239333
2,73,0.05,0.015,0,-0.0812823,0.000232285,0,0,0.0348021
2,74,0.055,0.015,0,-0.0796153,-0.00605965,0,0,0.0458219
2,75,0.06,0.015,0,-0.0744282,-0.0119092,0,0,0.0561329
2,76,0.065,0.015,0,-0.0660968,-0.0167784,0,0,0.0648902
2,77,0.07,0.015,0,-0.0552832,-0.0201385,0,0,0.0713424
2,78,0.075,0.015,0,-0.0429216,-0.0215211,0,0,0.0749243
2,79,0.08,0.015,0,-0.0301656,-0.0205966,0,0,0.0753736
2,80,0.085,0.015,0,-0.0182869,-0.0172821,0,0,0.0727893
2,81,0.09,0.015,0,-0.00862822,-0.011888,0,0,0.0672395
2,82,0.095,0.015,0,-0.00259816,-0.0054134,0,0,0.0587635
2,83,0.1,0.015,0,0,0,0,0,0.0538209
2,84,0,0.02,0,0,0,0,0,0.0223229
2,85,0.005,0.02,0,-0.00385894,0.0108837,0,0,0.0157798
2,86,0.01,0.02,0,-0.0120844,0.021403,0,0,0.00507328
2,87,0.015,0.02,0,-0.0246412,0.0294352,0,0,-0.00120788
2,88,0.02,0.02,0,-0.0395478,0.0340493,0,0,-0.00391795
2,89,0.025,0.02,0,-0.0551954,0.0350566,0,0,-0.00360236
2,90,0.03,0.02,0,-0.0701931,0.0326813,0,0,-0.000369883
2,91,0.035,0.02,0,-0.0833062,0.0273901,0,0,0.00550797
2,92,0.04,0.02,0,-0.0935201,0.0197861,0,0,0.013592
2,93,0.045,0.02,0,-0.100076,0.0105485,0,0,0.0233232
2,94,0.05,0.02,0,-0.102484,0.000407482,0,0,0.0340319
2,95,0.055,0.02,0,-0.100538,-0.00986073,0,0,0.0449519
2,96,0.06,0.02,0,-0.0943291,-0.0194376,0,0,0.0552531
2,97,0.065,0.02,0,-0.0842628,-0.0274775,0,0,0.0640924
2,98,0.07,0.02,0,-0.0710713,-0.0331476,0,0,0.0706794
2,99,0.075,0.02,0,-0.055811,-0.0357031,0,0,0.074359
2,100,0.08,0.02,0,-0.039819,-0.0346038,0,0,0.0747353
2,101,0.085,0.02,0,-0.0246189,-0.0296668,0,0,0.0717221
2,102,0.09,0.02,0,-0.0119268,-0.0212518,0,0,0.0649705
2,103,0.095,0.02,0,-0.00373544,-0.0105609,0,0,0.053944
2,104,0.1,0.02,0,0,0,0,0,0.0473218
2,105,0,0.025,0,0,0,0,0,0.024842
2,106,0.005,0.025,0,-0.00493543,0.0177315,0,0,0.0166528
2,107,0.01,0.025,0,-0.0152179,0.0333246,0,0,0.0034298
2,108,0.015,0.025,0,-0.0306397,0.044662,0,0,-0.00406203
2,109,0.02,0.025,0,-0.0486373,0.0508536,0,0,-0.0072126
2,110,0.025,0.025,0,-0.0672569,0.0518283,0,0,-0.00695347
2,111,0.03,0.025,0,-0.0849046,0.0479977,0,0,-0.0035455
2,112,0.035,0.025,0,-0.100216,0.0400634,0,0,0.00264722
2,113,0.04,0.025,0,-0.112097,0.0288898,0,0,0.0111365
2,114,0.045,0.025,0,-0.119741,0.0154309,0,0,0.0213525
2,115,0.05,0.025,0,-0.122625,0.000702282,0,0,0.0326334
2,116,0.055,0.025,0,-0.120518,-0.014222,0,0,0.0442197
2,117,0.06,0.025,0,-0.113488,-0.0282077,0,0,0.0552692
2,118,0.065,0.025,0,-0.101931,-0.0400746,0,0,0.064893
2,119,0.07,0.025,0,-0.0865991,-0.0486436,0,0,0.0722091
2,120,0.075,0.025,0,-0.0686212,-0.0528329,0,0,0.0764206
2,121,0.08,0.025,0,-0.0494864,-0.0518101,0,0,0.0769574
2,122,0.085,0.025,0,-0.0309722,-0.0451916,0,0,0.0735347
2,123,0.09,0.025,0,-0.0152101,-0.0332728,0,0,0.065424
2,124,0.095,0.025,0,-0.00484182,-0.0173445,0,0,0.051625
2,125,0.1,0.025,0,0,0,0,0,0.0432157
2,126,0,0.03,0,0,0,0,0,0.0231377
2,127,0.005,0.03,0,-0.00599697,0.0261367,0,0,0.0132918
2,128,0.01,0.03,0,-0.0183255,0.0477609,0,0,-0.00246014
2,129,0.015,0.03,0,-0.0365871,0.0628322,0,0,-0.0111237
2,130,0.02,0.03,0,-0.0576086,0.0706322,0,0,-0.014575
2,131,0.025,0.03,0,-0.0790781,0.0713381,0,0,-0.0141119
2,132,0.03,0.03,0,-0.0992123,0.0656551,0,0,-0.0101453
2,133,0.035,0.03,0,-0.11655,0.0545934,0,0,-0.00313949
2,134,0.04,0.03,0,-0.129962,0.0393216,0,0,0.00635515
2,135,0.045,0.03,0,-0.13863,0.0210873,0,0,0.0177415
2,136,0.05,0.03,0,-0.142025,0.00119343,0,0,0.0303464
2,137,0.055,0.03,0,-0.13989,-0.0189931,0,0,0.0433945
2,138,0.06,0.03,0,-0.132252,-0.0380245,0,0,0.0560037
2,139,0.065,0.03,0,-0.119456,-0.054373,0,0,0.0672039
2,140,0.07,0.03,0,-0.102219,-0.0664751,0,0,0.075978
2,141,0.075,0.03,0,-0.0816875,-0.0728393,0,0,0.0813375
2,142,0.08,0.03,0,-0.0594677,-0.0722327,0,0,0.0824883
2,143,0.085,0.03,0,-0.0375883,-0.0639343,0,0,0.0789119
2,144,0.09,0.03,0,-0.0186407,-0.0480315,0,0,0.069487
2,145,0.095,0.03,0,-0.00599414,-0.0257953,0,0,0.0527824
2,146,0.1,0.03,0,0,0,0,0,0.0424829
2,147,0,0.035,0,0,0,0,0,0.0161202
2,148,0.005,0.035,0,-0.00709678,0.0361133,0,0,0.004591
2,149,0.01,0.035,0,-0.0215124,0.0647205,0,0,-0.0136704
2,150,0.015,0.035,0,-0.0426163,0.0839164,0,0,-0.0233411
2,151,0.02,0.035,0,-0.0665815,0.0932955,0,0,-0.0267971
2,152,0.025,0.035,0,-0.0907314,0.0934404,0,0,-0.025724
2,153,0.03,0.035,0,-0.113122,0.0854793,0,0,-0.0206985
2,154,0.035,0.035,0,-0.132245,0.0708187,0,0,-0.012297
2,155,0.04,0.035,0,-0.14699,0.0509765,0,0,-0.00114045
2,156,0.045,0.035,0,-0.15658,0.0275027,0,0,0.0121407
2,157,0.05,0.035,0,-0.160509,0.00197083,0,0,0.0268574
2,158,0.055,0.035,0,-0.158504,-0.0239878,0,0,0.0422118
2,159,0.06,0.035,0,-0.150528,-0.0486372,0,0,0.0572702
2,160,0.065,0.035,0,-0.136829,-0.070109,0,0,0.0709596
2,161,0.07,0.035,0,-0.11802,-0.0864253,0,0,0.0820913
2,162,0.075,0.035,0,-0.09519,-0.0956052,0,0,0.0894324
2,163,0.08,0.035,0,-0.0699984,-0.0958797,0,0,0.0918995
2,164,0.085,0.035,0,-0.0447019,-0.0860111,0,0,0.0886704
2,165,0.09,0.035,0,-0.0223911,-0.0656884,0,0,0.0781519
2,166,0.095,0.035,0,-0.0072741,-0.0360307,0,0,0.0584283
2,167,0.1,0.035,0,0,0,0,0,0.0460962
2,168,0,0.04,0,0,0,0,0,0.00258993
2,169,0.005,0.04,0,-0.00828629,0.0477263,0,0,-0.0106751
