vtkCompositeIndexArray,vtkOriginalIndices,x,y,z,u1,u2,u3,__vtkIsSelected__,p
2,80,0.085,0.015,0,-0.0182864,-0.0172816,0,0,0.0727893
2,81,0.09,0.015,0,-0.00862799,-0.0118877,0,0,0.0672398
2,82,0.095,0.015,0,-0.00259809,-0.00541325,0,0,0.0587641
2,83,0.1,0.015,0,0,0,0,0,0.0538216
2,84,0,0.02,0,0,0,0,0,0.022322
2,85,0.005,0.02,0,-0.00385881,0.0108833,0,0,0.0157791
2,86,0.01,0.02,0,-0.012084,0.0214022,0,0,0.00507291
2,87,0.015,0.02,0,-0.0246405,0.0294342,0,0,-0.00120805
2,88,0.02,0.02,0,-0.0395466,0.0340481,0,0,-0.00391797
2,89,0.025,0.02,0,-0.0551937,0.0350554,0,0,-0.00360224
2,90,0.03,0.02,0,-0.070191,0.0326802,0,0,-0.000369652
2,91,0.035,0.02,0,-0.0833037,0.0273892,0,0,0.00550826
2,92,0.04,0.02,0,-0.0935172,0.0197855,0,0,0.0135923
2,93,0.045,0.02,0,-0.100073,0.0105482,0,0,0.0233234
2,94,0.05,0.02,0,-0.102481,0.000407547,0,0,0.034032
2,95,0.055,0.02,0,-0.100535,-0.00986028,0,0,0.0449519
2,96,0.06,0.02,0,-0.0943264,-0.0194368,0,0,0.0552531
2,97,0.065,0.02,0,-0.0842604,-0.0274765,0,0,0.0640924
2,98,0.07,0.02,0,-0.0710693,-0.0331464,0,0,0.0706794
2,99,0.075,0.02,0,-0.0558095,-0.0357018,0,0,0.074359
2,100,0.08,0.02,0,-0.0398179,-0.0346027,0,0,0.0747354
2,101,0.085,0.02,0,-0.0246183,-0.029666,0,0,0.0717222
2,102,0.09,0.02,0,-0.0119265,-0.0212512,0,0,0.0649709
2,103,0.095,0.02,0,-0.00373535,-0.0105606,0,0,0.0539447
2,104,0.1,0.02,0,0,0,0,0,0.0473227
2,105,0,0.025,0,0,0,0,0,0.024841
2,106,0.005,0.025,0,-0.00493529,0.0177309,0,0,0.0166521
2,107,0.01,0.025,0,-0.0152175,0.0333235,0,0,0.00342939
2,108,0.015,0.025,0,-0.0306389,0.0446605,0,0,-0.00406224
2,109,0.02,0.025,0,-0.0486361,0.0508519,0,0,-0.00721266
2,110,0.025,0.025,0,-0.0672552,0.0518266,0,0,-0.00695342
2,111,0.03,0.025,0,-0.0849025,0.0479961,0,0,-0.00354534
2,112,0.035,0.025,0,-0.100213,0.0400622,0,0,0.00264748
2,113,0.04,0.025,0,-0.112094,0.028889,0,0,0.0111368
2,114,0.045,0.025,0,-0.119737,0.0154305,0,0,0.0213528
2,115,0.05,0.025,0,-0.122622,0.000702373,0,0,0.0326336
2,116,0.055,0.025,0,-0.120514,-0.0142214,0,0,0.0442198
2,117,0.06,0.025,0,-0.113485,-0.0282066,0,0,0.0552693
2,118,0.065,0.025,0,-0.101928,-0.0400732,0,0,0.0648931
2,119,0.07,0.025,0,-0.0865968,-0.048642,0,0,0.0722091
2,120,0.075,0.025,0,-0.0686195,-0.0528313,0,0,0.0764209
2,121,0.08,0.025,0,-0.0494853,-0.0518086,0,0,0.0769577
2,122,0.085,0.025,0,-0.0309715,-0.0451903,0,0,0.073535
2,123,0.09,0.025,0,-0.0152098,-0.0332719,0,0,0.0654245
